,budget,company,country,director,gross,name,rating,released,runtime,score,star,votes,writer,release,movieId,title,title_lower,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,Western,profit,profit_margin
16,25000000.0,"Geffen Company, The",USA,Frank Oz,38747385.0,Little Shop of Horrors,PG-13,1986-12-19,94,6.9,Rick Moranis,53327,Howard Ashman,1986,2746,Little Shop of Horrors,little shop of horrors,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,13747385.0,0.35479516875784006
17,2700000.0,New Century Entertainment Corporation,USA,Mike Marvin,3500000.0,The Wraith,PG-13,1986-11-21,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,38583,"Wraith, The","wraith, the",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,800000.0,0.22857142857142856
18,35000000.0,Universal Pictures,USA,Willard Huyck,16295774.0,Howard the Duck,PG,1986-08-01,110,4.6,Lea Thompson,36020,Steve Gerber,1986,2450,Howard the Duck,howard the duck,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-18704226.0,-1.1477961095925853
19,2000000.0,New Line Cinema,USA,Stephen Herek,13167232.0,Critters,PG-13,1986-04-11,82,6.0,Dee Wallace,25517,Domonic Muir,1986,4492,Critters,critters,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11167232.0,0.8481077875744879
20,11000000.0,Orion Pictures,USA,Alan Metter,91258000.0,Back to School,PG-13,1986-06-13,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986,2416,Back to School,back to school,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80258000.0,0.8794626224550176
21,4700000.0,Cannon Films,USA,Tobe Hooper,8025872.0,The Texas Chainsaw Massacre 2,UNRATED,1986-08-22,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,2460,"Texas Chainsaw Massacre 2, The","texas chainsaw massacre 2, the",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3325872.0,0.41439385028816805
22,15000000.0,Jay Weston Productions,USA,Clint Eastwood,42724017.0,Heartbreak Ridge,R,1986-12-05,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,2476,Heartbreak Ridge,heartbreak ridge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27724017.0,0.648909417857408
23,25000000.0,Paramount Pictures,USA,Leonard Nimoy,109713132.0,Star Trek IV: The Voyage Home,PG,1986-11-26,119,7.3,William Shatner,66366,Gene Roddenberry,1986,1376,Star Trek IV: The Voyage Home,star trek iv: the voyage home,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,84713132.0,0.7721330205029604
26,25000000.0,Paramount Pictures,USA,Michael Ritchie,79817937.0,The Golden Child,PG-13,1986-12-12,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,2735,"Golden Child, The","golden child, the",1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,54817937.0,0.6867871942117472
27,1900000.0,Hemdale,USA,Tim Hunter,4600000.0,River's Edge,R,1987-05-08,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,4218,River's Edge,river's edge,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2700000.0,0.5869565217391305
28,25000000.0,L.A. Films,USA,John Landis,39246734.0,¡Three Amigos!,PG,1986-12-12,104,6.4,Steve Martin,57406,Steve Martin,1986,2478,¡Three Amigos!,¡three amigos!,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14246734.0,0.3630043203085383
29,25000000.0,Warner Bros.,USA,George P. Cosmatos,49042224.0,Cobra,R,1986-05-23,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986,6800,Cobra,cobra,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24042224.0,0.49023518998649
30,24500000.0,Warner Bros.,UK,Roland Joffé,17218023.0,The Mission,PG,1986-10-31,125,7.5,Robert De Niro,47497,Robert Bolt,1986,2745,"Mission, The","mission, the",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-7281977.0,-0.42292759162884147
31,13800000.0,Touchstone Pictures,USA,Martin Scorsese,52293982.0,The Color of Money,R,1986-10-17,119,7.0,Paul Newman,62495,Walter Tevis,1986,2474,"Color of Money, The","color of money, the",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38493982.0,0.7361073019836202
34,6000000.0,HBO Films,USA,Robert Harmon,5844868.0,The Hitcher,R,1986-02-21,97,7.3,Rutger Hauer,36191,Eric Red,1986,8501,"Hitcher, The","hitcher, the",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-155132.0,-0.026541574591590435
35,10000000.0,Amblin Entertainment,USA,Richard Benjamin,37499651.0,The Money Pit,PG,1986-03-26,91,6.3,Tom Hanks,41278,David Giler,1986,2375,"Money Pit, The","money pit, the",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27499651.0,0.7333308515324582
36,25000000.0,The Saul Zaentz Company,USA,Peter Weir,14302779.0,The Mosquito Coast,PG,1986-11-26,117,6.6,Harrison Ford,23076,Paul Theroux,1986,2734,"Mosquito Coast, The","mosquito coast, the",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-10697221.0,-0.7479120665990854
38,4000000.0,Initial Pictures,UK,Alex Cox,2826523.0,Sid and Nancy,R,1986-11-07,112,7.1,Gary Oldman,25032,Alex Cox,1986,2348,Sid and Nancy,sid and nancy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1173477.0,-0.4151662661156481
39,10000000.0,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,4711220.0,King Kong Lives,PG-13,1986-12-19,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986,2368,King Kong Lives,king kong lives,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5288780.0,-1.1225924495141386
40,4500000.0,Empire Pictures,USA,Stuart Gordon,1261000.0,From Beyond,R,1986-10-24,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986,7984,From Beyond,from beyond,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-3239000.0,-2.568596352101507
41,18000000.0,TriStar Pictures,USA,Francis Ford Coppola,41382841.0,Peggy Sue Got Married,PG-13,1986-10-10,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986,2469,Peggy Sue Got Married,peggy sue got married,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23382841.0,0.5650371128458773
42,19000000.0,Freddie Fields Productions,USA,Brian Gibson,40996665.0,Poltergeist II: The Other Side,PG-13,1986-05-23,91,5.7,JoBeth Williams,20669,Mark Victor,1986,1995,Poltergeist II: The Other Side,poltergeist ii: the other side,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21996665.0,0.5365476679627477
43,1100000.0,Empire Pictures,USA,John Carl Buechler,5450815.0,Troll,PG-13,1986-01-17,82,4.3,Michael Moriarty,7569,Ed Naha,1986,43838,Troll,troll,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4350815.0,0.7981953157463608
46,111000.0,Maljack Productions,USA,John McNaughton,609939.0,Henry: Portrait of a Serial Killer,UNRATED,1990-09-07,83,7.0,Michael Rooker,25367,Richard Fire,1986,2159,Henry: Portrait of a Serial Killer,henry: portrait of a serial killer,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,498939.0,0.8180145883440804
47,18000000.0,ABC Motion Pictures,USA,Harry Winer,9697739.0,SpaceCamp,PG,1986-06-06,107,5.6,Kate Capshaw,11484,Clifford Green,1986,4812,SpaceCamp,spacecamp,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8302261.0,-0.8561027472486112
48,6400000.0,Orion Pictures,USA,Woody Allen,40084041.0,Hannah and Her Sisters,PG-13,1986-03-14,107,8.0,Mia Farrow,56988,Woody Allen,1986,6993,Hannah and Her Sisters,hannah and her sisters,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,33684041.0,0.8403354591918515
49,14000000.0,Walt Disney Pictures,USA,Ron Clements,38600000.0,The Great Mouse Detective,G,1986-07-02,74,7.2,Vincent Price,36539,Peter Young,1986,2048,"Great Mouse Detective, The","great mouse detective, the",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,24600000.0,0.6373056994818653
50,8500000.0,De Laurentiis Entertainment Group (DEG),USA,John Irvin,16209459.0,Raw Deal,R,1986-06-06,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986,7310,Raw Deal,raw deal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7709459.0,0.475614824652692
52,5000000.0,TriStar Pictures,USA,Fred Dekker,591366.0,Night of the Creeps,R,1986-08-22,88,6.8,Jason Lively,16077,Fred Dekker,1986,3696,Night of the Creeps,night of the creeps,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,-4408634.0,-7.455000794770075
53,12000000.0,Cannon Pictures,USA,Tobe Hooper,4884663.0,Invaders from Mars,PG,1986-06-06,100,5.5,Karen Black,5878,Richard Blake,1986,72777,Invaders from Mars,invaders from mars,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-7115337.0,-1.4566689656993737
55,6500000.0,Cinema '85,USA,James Foley,2347000.0,At Close Range,R,1986-04-18,111,7.0,Sean Penn,11607,Elliott Lewitt,1986,4043,At Close Range,at close range,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-4153000.0,-1.7694929697486153
57,20000000.0,Paramount Pictures,USA,Mike Nichols,25314289.0,Heartburn,R,1986-07-25,108,6.1,Meryl Streep,7570,Nora Ephron,1986,2417,Heartburn,heartburn,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5314289.0,0.20993238245798648
58,15000000.0,Warner Bros.,USA,Michael Chapman,1953732.0,The Clan of the Cave Bear,R,1986-01-17,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986,2147,"Clan of the Cave Bear, The","clan of the cave bear, the",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-13046268.0,-6.677613920435351
59,12000000.0,Golan-Globus Productions,USA,Menahem Golan,17768900.0,The Delta Force,R,1986-02-14,125,5.6,Chuck Norris,15819,James Bruner,1986,7704,"Delta Force, The","delta force, the",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5768900.0,0.32466275346251033
65,18000000.0,Paramount Pictures,USA,Ron Howard,36611610.0,Gung Ho,PG-13,1986-03-14,112,6.2,Michael Keaton,9965,Edwin Blum,1986,2374,Gung Ho,gung ho,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18611610.0,0.5083526782897556
68,175000.0,40 Acres & A Mule Filmworks,USA,Spike Lee,7137502.0,She's Gotta Have It,R,1986-08-08,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986,3422,She's Gotta Have It,she's gotta have it,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6962502.0,0.9754816180787059
70,8700000.0,Delphi V Productions,USA,Paul Michael Glaser,4865912.0,Band of the Hand,R,1986-04-11,109,6.3,Stephen Lang,2297,Leo Garen,1986,3442,Band of the Hand,band of the hand,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-3834088.0,-0.7879484873544774
73,12000000.0,Columbia Pictures Corporation,USA,Mark L. Lester,15945534.0,Armed and Dangerous,PG-13,1986-08-15,88,5.6,John Candy,9040,Brian Grazer,1986,2458,Armed and Dangerous,armed and dangerous,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3945534.0,0.24743818551326033
74,1100000.0,Black Snake,USA,Jim Jarmusch,1436000.0,Down by Law,R,1986-10-30,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,1273,Down by Law,down by law,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,336000.0,0.233983286908078
75,10000000.0,Orion Pictures,USA,Robert Mandel,20603715.0,F/X,R,1986-02-07,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,3763,F/X,f/x,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10603715.0,0.514650634606429
77,18000000.0,Gladden Entertainment,USA,Marshall Brickman,3900000.0,The Manhattan Project,PG-13,1986-06-13,117,6.1,John Lithgow,4666,Marshall Brickman,1986,5437,"Manhattan Project, The","manhattan project, the",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-14100000.0,-3.6153846153846154
78,5000000.0,Paramount Pictures,USA,Fred Walton,12947763.0,April Fool's Day,R,1986-03-28,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,1330,April Fool's Day,april fool's day,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7947763.0,0.6138329068890124
79,25000000.0,Brooksfilms,USA,Alan Johnson,1579260.0,Solarbabies,PG-13,1986-11-26,94,4.8,Richard Jordan,3397,Walon Green,1986,26582,Solarbabies,solarbabies,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-23420740.0,-14.830198953940453
82,10000000.0,Touchstone Pictures,USA,Jeff Kanew,21458229.0,Tough Guys,PG,1986-10-03,104,6.2,Burt Lancaster,5584,James Orr,1986,2472,Tough Guys,tough guys,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11458229.0,0.5339783166635047
84,12000000.0,Cinema Group Ventures,USA,Roger Spottiswoode,7790931.0,The Best of Times,PG-13,1986-01-31,104,5.9,Robin Williams,5523,Ron Shelton,1986,26566,"Best of Times, The","best of times, the",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-4209069.0,-0.540252378053406
85,2000000.0,Paragon Arts International,UK,Kevin Tenney,7369373.0,Witchboard,R,1987-03-13,98,5.7,Todd Allen,4744,Kevin Tenney,1986,8855,Witchboard,witchboard,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5369373.0,0.7286064906743084
86,14000000.0,Touchstone Pictures,USA,Paul Mazursky,62134225.0,Down and Out in Beverly Hills,R,1986-01-31,103,6.1,Nick Nolte,13569,René Fauchois,1986,5548,Down and Out in Beverly Hills,down and out in beverly hills,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48134225.0,0.7746813451040871
87,8500000.0,Capital Equipment Leasing,UK,Trevor Nunn,277646.0,Lady Jane,PG-13,1986-02-07,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986,6201,Lady Jane,lady jane,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-8222354.0,-29.614523529962614
90,18000000.0,Producers Sales Organization (PSO),USA,Hal Ashby,1305114.0,8 Million Ways to Die,R,1986-04-25,115,5.7,Jeff Bridges,3607,Lawrence Block,1986,41753,8 Million Ways to Die,8 million ways to die,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-16694886.0,-12.791898638739605
96,8000000.0,Cannon Group,USA,J. Lee Thompson,11834302.0,Firewalker,PG,1986-11-21,104,5.0,Chuck Norris,4752,Robert Gosnell,1986,2477,Firewalker,firewalker,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3834302.0,0.32399899884251726
98,3300000.0,Amaretto Films,USA,Richard Wenk,4941117.0,Vamp,R,1986-07-18,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986,4753,Vamp,vamp,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1641117.0,0.33213481890835617
101,15000000.0,Warner Bros.,USA,Harold Ramis,12308521.0,Club Paradise,PG-13,1986-07-11,96,4.9,Robin Williams,5049,Harry Shearer,1986,26567,Club Paradise,club paradise,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2691479.0,-0.21866794556389024
102,40000000.0,Universal Pictures,USA,Ivan Reitman,49851591.0,Legal Eagles,PG,1986-06-20,116,5.9,Robert Redford,8374,Ivan Reitman,1986,6308,Legal Eagles,legal eagles,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,9851591.0,0.19761838694375872
105,13000000.0,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,8475466.0,Wise Guys,R,1986-04-18,100,5.6,Danny DeVito,4573,George Gallo,1986,51503,Wise Guys,wise guys,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-4524534.0,-0.5338389653147095
109,17000000.0,HandMade Films,UK,Jim Goddard,2315683.0,Shanghai Surprise,PG-13,1986-08-29,97,3.1,Sean Penn,4339,John Kohn,1986,3390,Shanghai Surprise,shanghai surprise,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-14684317.0,-6.341246621407161
110,16000000.0,Lorimar Productions,USA,Sidney Lumet,3800000.0,Power,R,1986-01-31,111,5.7,Richard Gere,2287,David Himmelstein,1986,49757,Power,power,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-12200000.0,-3.210526315789474
112,20000000.0,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,22905500.0,Crimes of the Heart,PG-13,1987-01-23,105,6.4,Diane Keaton,3079,Beth Henley,1986,2738,Crimes of the Heart,crimes of the heart,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2905500.0,0.1268472637576128
115,6000000.0,Golan-Globus Productions,USA,J. Lee Thompson,9947631.0,Murphy's Law,R,1986-04-18,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986,6177,Murphy's Law,murphy's law,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3947631.0,0.39684131829980424
125,18000000.0,Rastar Pictures,USA,Gene Saks,11957943.0,Brighton Beach Memoirs,PG-13,1986-12-25,108,6.9,Blythe Danner,2720,Neil Simon,1986,2736,Brighton Beach Memoirs,brighton beach memoirs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-6042057.0,-0.5052756147106572
133,25000000.0,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,4007250.0,Tai-Pan,R,1986-11-07,127,5.5,Bryan Brown,1340,John Briley,1986,8721,Tai-Pan,tai-pan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20992750.0,-5.238692370079232
134,17000000.0,Escalante Productions,USA,Dick Richards,2793214.0,Heat,R,1987-03-13,101,5.5,Burt Reynolds,1358,William Goldman,1986,131274,Heat,heat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-14206786.0,-5.086178860624356
141,3401376.0,Cinema Group Ventures,USA,Renny Harlin,3388020.0,Born American,R,1986-08-29,97,4.3,Mike Norris,1509,Renny Harlin,1986,3443,Born American,born american,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-13356.0,-0.003942125489223795
142,10000000.0,Paramount Pictures,USA,Michelle Manning,6947787.0,Blue City,R,1986-05-02,83,4.4,Judd Nelson,792,Ross Macdonald,1986,70050,Blue City,blue city,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-3052213.0,-0.43930722113386605
152,2000000.0,American Playhouse,USA,Jerrold Freedman,1301121.0,Native Son,PG,1986-12-12,111,5.9,Victor Love,448,Richard Wesley,1986,2743,Native Son,native son,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-698879.0,-0.5371360542178629
160,1500000.0,Cinetel Films,USA,Fred Olen Ray,1368912.0,Armed Response,R,1986-10-03,86,4.9,David Carradine,489,T.L. Lankford,1986,142659,Armed Response,armed response,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-131088.0,-0.0957607209228935
166,16000000.0,Act III Communications,USA,Rob Reiner,30857814.0,The Princess Bride,PG,1987-10-09,98,8.1,Cary Elwes,320953,William Goldman,1987,1197,"Princess Bride, The","princess bride, the",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14857814.0,0.4814927590139729
167,1000000.0,Cinemarque Entertainment BV,UK,Clive Barker,14564027.0,Hellraiser,R,1987-09-18,94,7.0,Andrew Robinson,83209,Clive Barker,1987,3917,Hellraiser,hellraiser,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13564027.0,0.931337671922745
168,30000000.0,Natant,UK,Stanley Kubrick,46357676.0,Full Metal Jacket,R,1987-07-10,116,8.3,Matthew Modine,537826,Gustav Hasford,1987,1222,Full Metal Jacket,full metal jacket,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16357676.0,0.3528579819229937
169,6000000.0,Great American Films Limited Partnership,USA,Emile Ardolino,63952836.0,Dirty Dancing,PG-13,1987-08-21,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987,1088,Dirty Dancing,dirty dancing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,57952836.0,0.9061808611583699
171,15000000.0,Amercent Films,USA,John McTiernan,59735548.0,Predator,R,1987-06-12,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,3527,Predator,predator,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,44735548.0,0.7488932385788107
172,27000000.0,Braveworld Productions,USA,Paul Michael Glaser,38122105.0,The Running Man,R,1987-11-13,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987,3698,"Running Man, The","running man, the",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11122105.0,0.2917494980930355
173,22700000.0,Brooksfilms,USA,Mel Brooks,38119483.0,Spaceballs,PG,1987-06-24,96,7.1,Mel Brooks,146748,Mel Brooks,1987,3033,Spaceballs,spaceballs,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15419483.0,0.40450399078077737
174,13000000.0,Orion Pictures,USA,Paul Verhoeven,53424681.0,RoboCop,R,1987-07-17,102,7.5,Peter Weller,196245,Edward Neumeier,1987,2985,RoboCop,robocop,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,40424681.0,0.7566667735461069
175,15000000.0,Warner Bros.,USA,Richard Donner,65207127.0,Lethal Weapon,R,1987-03-06,110,7.6,Mel Gibson,204328,Shane Black,1987,2000,Lethal Weapon,lethal weapon,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,50207127.0,0.7699637955219221
176,25000000.0,Paramount Pictures,USA,Brian De Palma,76270454.0,The Untouchables,R,1987-06-03,119,7.9,Kevin Costner,234254,Oscar Fraley,1987,2194,"Untouchables, The","untouchables, the",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,51270454.0,0.6722190745055746
177,22000000.0,Golan-Globus Productions,USA,Gary Goddard,17336370.0,Masters of the Universe,PG,1987-08-07,106,5.4,Dolph Lundgren,30370,David Odell,1987,4133,Masters of the Universe,masters of the universe,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-4663630.0,-0.2690084487121583
178,12000000.0,Home Box Office (HBO),USA,Fred Dekker,3769990.0,The Monster Squad,PG-13,1987-08-14,82,7.2,Andre Gower,21420,Shane Black,1987,4135,"Monster Squad, The","monster squad, the",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-8230010.0,-2.1830323157355855
